title,desc,image,url,source,date,ru_title,ru_desc
反制美国 中国将建技术安全管理清单 禁关键技术输出,继中国商务部建立不可靠实体清单之后，中国国家发改委又计划设立国家技术安全管理清单，以反制美国的技术禁运。  在美国对华为等中国企业发出禁令之后，中国近日连续推出反制措施。中国商务部上周五宣布，将建立不可,/english/images/rfa-logo-400.jpg,https://www.rfa.org/mandarin/Xinwen/6-06082019175313.html,RFA,20190609,"Чтобы противостоять США, Китай создаст список управления технической безопасностью, чтобы запретить экспорт ключевых технологий.","После того, как министерство торговли Китая составило список ненадежных организаций, Национальная комиссия по развитию и реформам Китая планирует составить национальный список управления технологической безопасностью, чтобы противостоять технологическому эмбарго США. После того, как Соединенные Штаты ввели запрет на китайские компании, такие как Huawei, Китай недавно предпринял контрмеры. Министерство торговли Китая объявило в пятницу, что построит"
賴清德已經讓到不能再讓！親賴立委：遊戲規則不利仍參選到底,民進黨中執會29日以「共識不表決」方式通過總統初選日程相關事宜，事後前行政院長賴清德發出聲明，並痛斥「被修改的不是『辦法』而是『民主』，被傷害的不是『初選』 而是『民進黨』！」對此，親賴的民進黨立委郭國文今天 (31日) 表示，賴院長已經讓到不能再讓，雖然規則改後對他相當不利，但他依舊面對、堅持參選,https://newtalk.tw/resize_action2/s.newtalk.tw/album/news/254/5cf0a0a0745aa.PNG?imgmax=800,https://newtalk.tw/news/view/2019-05-31/253962,NewTalk.tw,20190601,"Лай Циндэ уже так много сделал, что больше не может сдаваться! Депутат Лай Лай: Правила игры невыгодны, и он все равно будет баллотироваться на выборах до конца","29-го Центральный исполнительный комитет Демократической прогрессивной партии принял повестку дня, связанную с первичными президентскими выборами, путем «консенсуса без голосования». «Первичные выборы» - это «ДПП»!» - Лай, депутат от ДПП, заявил сегодня (31-го числа), что Дин Лай уже сдался до такой степени, что больше не может сдаваться, хотя изменение правил весьма неблагоприятно для него, но он все еще сталкивается и настаивает на том, чтобы баллотироваться на выборах."
踢出貿易白名單、取消定期交流活動，日韓關係為何突然惡化？,"日本在7月初宣布，基於「安保因素」，將對3種重要的半導體材料實施管控，限制輸入韓國，未來從過去的大量審批，將改為單次審批，且審批期達3個月。消息一出，引發韓國各界譁然與抗議。 標籤: 文在寅, 安倍­晉三, 日韓貿易戰, 徵用工判決, 半導體, 白名單, 西太平洋小學堂",https://image6.thenewslens.com/2019/8/4hflu35pp1e4xcjf8p79o8xbtllyxj.jpg?h=628&w=1200,https://www.thenewslens.com/article/123156,NewsLens,20190808,"Почему японо-южнокорейские отношения внезапно ухудшились после того, как их исключили из торгового белого списка и отменили регулярную деятельность по обмену?","В начале июля Япония объявила, что на основе «факторов безопасности» она будет осуществлять контроль над тремя важными полупроводниковыми материалами и ограничит импорт в Южную Корею.В будущем большое количество разрешений в прошлом будет изменено на одно разрешение, и срок утверждения составит до 3 месяцев. Как только новость вышла, она вызвала бурю негодования и протесты со стороны всех слоев общества в Южной Корее. Теги: Мун Чжэ Ин, Синдзо Абэ, торговая война между Японией и Южной Кореей, вердикт о наборе рабочей силы, полупроводник, белый список, Начальная школа Западной части Тихого океана"
本地去年总就业人数五年来增幅最大 被裁工人连续两年减少,"劳动市场去年显著改善，就业总人数除了扭转2017年的跌势，也取得自2014年以来最大的增长幅度。去年被裁退的人数也有所减少，延续了更早一年的下降势头。但专业人士、经理、执行人员及技师（professionals, managers, executives and technicians，简称PMET）在被裁人数中占了近八成，远高于这个群体在劳动力中所占百分比。",https://www.zaobao.com.sg/sites/default/files/styles/og_share_medium/public/images/201903/20190315/heng3974.jpg?itok=tMcvuAoW&c=a87f927ff9ed9927f6c30276b35ab07f,https://www.zaobao.com.sg/news/singapore/story20190315-940132?utm_medium=social&utm_source=facebook#echobox=1552611557,Zaobao,20190315,"В прошлом году общее количество местных занятых увеличилось больше всего за пять лет, а количество уволенных работников сократилось два года подряд.","Рынок труда значительно улучшился в прошлом году, при этом общее количество занятых не только обратило вспять снижение в 2017 году, но и достигло самого большого роста с 2014 года. Число уволенных также сократилось в прошлом году, продолжая снижение по сравнению с предыдущим годом. Но на специалистов, менеджеров, руководителей и техников (PMET) приходилось почти 80 процентов увольнений, что намного выше, чем доля этой группы в рабочей силе."
華為控告美國商務部 涉嫌非法扣押電信設備,綜合外電報導，中國電信設備大廠華為在美東時間 21 日，正式向聯邦法院控告美國商務部，涉嫌在 2017 年非法扣押華為電信設備。截至目前，美國商務部尚未對此回應。,https://cdn.taronews.tw/files/2018/12/20181208PHO0042l.jpg,https://taronews.tw/2019/06/22/379489/,芋傳媒,20190623,Huawei подает в суд на Министерство торговли США за незаконный захват телекоммуникационного оборудования,"Согласно обширным зарубежным сообщениям, Huawei, крупный китайский производитель телекоммуникационного оборудования, официально подала иск против Министерства торговли США в федеральный суд 21-го числа по восточному времени за якобы незаконный захват телекоммуникационного оборудования Huawei в 2017 году. Пока Министерство торговли США не отреагировало на это."
數位身分證放不放國旗 徐國勇：保留開放態度,內政部長徐國勇今天表示，過去兩蔣時代的身分證都沒有國旗，大部分國家的身分證也沒有國旗，不希望國旗問題變成政治議題。目前身分證版本還在徵求意見，他保留開放的態度。,https://cdn.taronews.tw/files/2019/03/20190319PHO0031l.jpg,https://taronews.tw/2019/03/19/285359/,芋傳媒,20190320,Не размещайте национальный флаг на цифровом удостоверении личности Сюй Гоюн: сохраняйте открытое отношение,"Министр внутренних дел Сюй Гоюн заявил сегодня, что в удостоверениях личности эпохи Чан Кай-ши не было национального флага, а в удостоверениях личности большинства стран также не было национального флага. стать политическим вопросом. В настоящее время версия удостоверения личности все еще требует комментариев, и он сохраняет открытую позицию."
鋒面來襲中苗投大雨 頭份鄉里助搶收西瓜,鋒面來襲，中苗投降下大雨，台中和平、大安，南投國姓及苗栗三義，凌晨到早上十點二十為止，累積雨量破百或近百毫米。苗栗頭份的西瓜農擔心泡水血本無歸，趕緊搶收，希望能減少損失。...,https://daf1ua3hmwh9p.cloudfront.net/news_images/434209/1560231118y.jpg,https://news.pts.org.tw/article/434209,PTS.org.tw,20190611,"Фронт обрушивается на Чжунмяо проливным дождем, а деревня Тоуфен помогает собирать арбузы","Ударил фронт, проливной дождь прошел в Чжунмяо, Тайчжун-Хэпине, Даане, Наньтоу-Госине и Мяоли-Саньи.С раннего утра до 10:20 накопленное количество осадков превысило 100 или почти 100 миллиметров. Фермеры, выращивающие арбузы в Тоуфене, Мяоли, беспокоились, что потеряют все, если их замочат в воде, поэтому они бросились собирать их, надеясь уменьшить свои потери. ..."
同為警察執法使用槍械，為何兩案判決大不同？,"警察為了追捕嫌犯獲通緝犯，難免會有使用槍械的必要情形。過去也有員警在追緝通緝犯的過程中，不慎擊斃通緝犯的新聞。該名員警被依業務過失致死起訴，最後被判刑6個月定讞。為什麼都是警察執法使用槍械，卻有不同的判決呢？ 標籤: 警察, 通緝犯, 追緝, 比例原則, 業務過失致死, 開槍, 偵查, 再議, 警察開槍",https://image6.thenewslens.com/2019/7/4j54i5hwry1wi3py1fps1gf1r42vs6.jpg?auto=compress&fit=crop&h=648&q=85&updated_at=2019-07-12-20-52-12&w=1080,https://www.thenewslens.com/article/122044,NewsLens,20190715,"Почему решения по двум делам настолько различаются, когда полиция применяет огнестрельное оружие в правоохранительных органах?","Неизбежно, что полиция будет использовать огнестрельное оружие для выслеживания подозреваемых и получения разыскиваемых преступников. В прошлом также были новости о том, что полиция случайно застрелила разыскиваемого преступника в процессе погони за разыскиваемым преступником. Полицейский был привлечен к ответственности за профессиональную смерть по неосторожности и в конечном итоге был приговорен к 6 месяцам тюремного заключения. Почему полиция применяет огнестрельное оружие в правоохранительных органах, но имеет разные сроки наказания? Тэги: Полиция, Самый разыскиваемый, Разыскиваемый, Соразмерность, Неправомерная смерть, Стрельба, Расследование, Повторные переговоры, Полицейская стрельба"
輔醫引進紳漢機器人手臂 盼成國際培訓中心,輔仁大學附設醫院亞洲首例引進機器人手臂「紳漢高智感微創手術系統」。校長江漢聲表示，未來將成立設計中心及訓練中心，盼作為國際機器手臂醫護培訓中心。,https://cdn.taronews.tw/files/2019/07/20190701PHO0183l.jpg,https://taronews.tw/2019/07/01/388489/,芋傳媒,20190702,Вспомогательный врач представляет робота-манипулятора Shenhan Международный учебный центр Pancheng,"Дочерняя больница Католического университета Фу Джен первой в Азии представила робота-манипулятора «Минимально инвазивная хирургическая система Shen-Han Gao Zhishen». Директор Цзян Ханьшэн сказал, что центр дизайна и учебный центр будут созданы в будущем, надеясь стать международным медицинским учебным центром для роботов-манипуляторов."
罷免韓國瑜連署踴躍 台灣基進高雄急募志工,台灣基進高雄黨部主委李欣翰今天說，罷免高雄市長韓國瑜的罷韓行動開跑後，連署踴躍，辦公室已呈現「瀕臨癱瘓」狀態，導致工作人員極度過勞，將首波招收志工至少百名。,https://cdn.taronews.tw/files/2019/07/20190701PHO0078l.jpg,https://taronews.tw/2019/07/08/395987/,芋傳媒,20190709,"Добровольцы активно набираются для удаления Хань Го-ю, Тайваньский фонд Гаосюн","Ли Синьхан, председатель партии Тайваньского фонда Гаосюн, заявил сегодня, что после начала импичмента мэру Гаосюна Хань Го-юй было подано много петиций, и офис был «на грани паралича», в результате чего сотрудники были чрезвычайно перегружены работой. Первая волна добровольцев будет набрана не меньше сотни."
